Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Merrill Kelly","ARI",158,-4.702993951612903,,-1.6020879717679481,,,-9.253591652684564,,4.68000967644121,,,-9.205450699792655,,,"Merrill Kelly",11156,518876
"Vince Velasquez","- - -",94.1,-2.5665158199772953,,,,,-7.312840275950246,3.453586277625373,,2.8579135383527303,,-7.381561793638079,,,"Vince Velasquez",11189,592826
"Casey Sadler","SEA",40.1,-3.3061723709106445,,1.6125474116973233,,,-9.95370425084594,,6.568803630891393,,,-13.626607894897461,,,"Casey Sadler",11209,594987
"Sean Nolin","WSN",26.2,5.147958374023437,,-1.603328346187233,,,10.214395523071289,-4.710561275482178,-5.224940804874196,-4.168109893798828,,9.200977618877705,,,"Sean Nolin",11341,543594
"Jose Quintana","- - -",63,2.808848535590492,,,,,7.7070201338686015,,-5.043901742222798,,,6.720504929347592,,,"Jose Quintana",11423,500779
"Drew Pomeranz","SDP",25.2,1.9813763653790508,,,,,,,,-1.6903189893038768,,,,,"Drew Pomeranz",11426,519141
"Brandon Workman","- - -",28,-2.8009913517878604,,0.2143956439595827,,,,,,2.8437442342743617,,,,,"Brandon Workman",11428,519443
"Robbie Ray","TOR",193.1,5.502641598938743,,,,,8.171456336975098,0.3111621131581708,,0.1062208744867934,,6.448244348036504,,,"Robbie Ray",11486,592662
"Joely Rodríguez","- - -",46.1,8.243436431884765,,,,,11.309226499784977,-0.3388466793915321,,,,7.469777103892544,,,"Joely Rodriguez",11487,570257
"Aaron Sanchez","SFG",35.1,-6.009332536577104,,,,,-9.70943107185783,,7.42732188465831,,,-7.991364924112956,,,"Aaron Sanchez",11490,592717
"José Ureña","DET",100.2,-5.846272749059341,,,,,-9.533770805292212,0.551994137886243,,,,-8.216087836723823,,,"Jose Urena",11589,570632
"Heath Hembree","- - -",58,-5.774382581208881,,,,,,4.175123907292931,6.777345275878906,,,,,,"Heath Hembree",11632,592390
"Jameson Taillon","NYY",144.1,-2.45376449494212,,1.5857600748103902,,,-7.87442134886749,2.819227491106306,5.332958339069383,,,-8.455126426202789,,,"Jameson Taillon",11674,592791
"Carlos Martinez","STL",82.1,-5.59403506192294,,-1.461130107278789,,,-9.634411138329803,5.8141717780126285,5.127529144287109,,,-8.943040004996366,,,"Carlos Martinez",11682,593372
"Matt Harvey","BAL",127.2,-7.799256013569079,,,,,-9.975300755994073,-0.012123163227692005,5.989493736853967,,,-8.925715838738208,,,"Matt Harvey",11713,518774
"Luke Jackson","ATL",63.2,-4.677737296895778,,,,,,0.06158506651937743,2.2625564919378522,,,,,,"Luke Jackson",11752,592426
"Drew Smyly","ATL",126.2,4.6893939393939394,,2.696148120290865,,,4.341632359241002,,2.9829999287923177,2.3217686495841443,,,,,"Drew Smyly",11760,592767
"Hansel Robles","- - -",69,-7.139013597099924,,,,,-10.364932537078857,-0.27647058587325246,3.3228366374969482,,,-8.248820391568271,,,"Hansel Robles",11801,570663
"Héctor Neris","PHI",74.1,-6.072792002918956,,,-5.261185508199257,,-9.922353066161088,0.4501185850663619,,,,,,,"Hector Neris",11804,593576
"Taijuan Walker","NYM",159,-5.9974690349659125,,1.6245578317081226,-8.309382984736194,,-9.474984261963773,1.9383602361150272,3.856951593715239,,,,,,"Taijuan Walker",11836,592836
"Chris Martin","ATL",43.1,-5.041075240734012,,0.7694457632596375,-6.341254257574314,,-8.983986475134408,6.853250179650648,3.089917989877554,,,,,,"Chris Martin",11847,455119
"Michael Feliz","- - -",20,-2.45088154105253,,,,,,3.3611467842041978,,,,-7.299929107938494,,,"Michael Feliz",11903,593140
"Matt Andriese","- - -",48.1,-4.674117513020834,,0.7048817006024447,,,-10.281085867630807,,2.772756647180628,,,-2.965955878948343,,,"Matt Andriese",12022,542882
"Kyle Hendricks","CHC",181,-4.522556936907435,,,,,-8.422400278413821,,7.77254924368351,,,-8.023623900425772,,,"Kyle Hendricks",12049,543294
"Yimi García","- - -",57.2,-4.628879123263889,,,,,-10.455628734523968,1.0786743432703152,5.173206595487373,,,-10.799486541748047,,,"Yimi Garcia",12095,554340
"Domingo Tapia","- - -",33.2,-6.986943807357397,,1.2288391590118408,,,-9.91832101581902,2.2470382833480835,,,,-7.345133155584335,,,"Domingo Tapia",12178,593619
"Dan Winkler","CHC",39.2,-4.989720984350277,,-0.3336167954306566,,,-8.909378662109376,,4.334553037370954,,,-9.957551956176758,,,"Dan Winkler",12237,595465
"Evan Marshall","CHW",27.1,-7.199681454613096,,,,,-10.265622739438657,,4.321019118394309,,,-9.923686108558007,,,"Evan Marshall",12297,605359
"Chris Bassitt","OAK",157.1,-4.848108894165305,,-0.01671157770378645,,,-9.770017233455881,8.21828463807398,7.558053945566153,,,-10.590169270833334,,,"Chris Bassitt",12304,605135
"Jacob Barnes","- - -",28.2,-2.142772674560547,,2.302778126504184,,,,3.548752021789551,,,,-3.849777584984189,,,"Jacob Barnes",12323,606930
"Spencer Patton","TEX",42.1,-5.991921276303392,,,-8.290305066464553,,-7.574014663696289,6.245813039787711,,,,,,,"Spencer Patton",12361,607359
"Seth Lugo","NYM",46.1,-4.639684425210053,,,,,-9.501655997810783,1.4836988176618304,6.5093254676231975,,,-8.449696416440217,,,"Seth Lugo",12447,607625
"Blake Treinen","LAD",72.1,-7.39865410037157,,-0.739923011965868,,,-11.100613606770834,6.497741063435872,,,,-9.02496337890625,,,"Blake Treinen",12572,595014
"Nick Ramirez","SDP",20.1,7.30738639831543,,2.7133560180664062,,,10.099685836624314,-0.40140777475693645,,-0.2676217357317607,,8.482366746471774,,,"Nick Ramirez",12575,598286
"Adam Morgan","CHC",25.1,6.927881056262601,,,,,9.811633566151494,-3.3186589754544773,-4.7247122906624,,,7.464224613074101,,,"Adam Morgan",12580,605388
"Ryne Harper","WSN",35.2,-0.41741097357965284,,,,,,5.708626140247691,7.468174876782718,6.845522696511788,,,,,"Ryne Harper",12680,607560
"Trevor Bauer","LAD",107.2,-6.238472879931914,,2.3195427612937176,,,-8.877152928766215,9.12859666203878,,4.8313424682617185,,-9.754549716381316,,,"Trevor Bauer",12703,545333
"Adrian Houser","MIL",142.1,-5.176663893687574,,,,,-9.439070522314376,2.7539867713437443,2.6794507856199727,,,-9.512336292486081,,,"Adrian Houser",12718,605288
"Rafael Montero","- - -",49.1,-5.617904564323549,,,,,-9.239306222021053,3.566545114009338,,,,-9.381451087083645,,,"Rafael Montero",12760,606160
"Sonny Gray","CIN",135.1,-1.28219259010171,,2.6105175018310547,,,-7.714119980258089,7.860228402273996,7.925787534808168,8.08709647438743,,-7.215575347075591,,,"Sonny Gray",12768,543243
"Burch Smith","OAK",43.1,-4.7203418805206105,,1.3384602069854736,,,,1.0759305953979492,5.17584228515625,,,-7.6920948857846465,,,"Burch Smith",12784,572143
"Noé Ramirez","- - -",36,-5.6617790960496475,,,,,,,6.552847806738798,,,-8.457030985396722,,,"Noe Ramirez",12800,598287
"Matt Wisler","- - -",48.2,-5.6473708682590065,,,,,,4.996501447770979,,,,,,,"Matt Wisler",12804,605538
"Andrew Kittredge","TBR",71.2,-0.4720552701216478,,,,,-9.563218575936776,3.7972122089050155,,,,-6.440396626790364,,,"Andrew Kittredge",12828,552640
"Shawn Armstrong","- - -",36,-2.7433512963413875,,3.4194651240796112,,,,5.964463768935785,,,,,,,"Shawn Armstrong",12857,542888
"Matt Barnes","BOS",54.2,-6.8110170322734715,,,,,,,,1.6033393774139748,,-10.197732925415039,,,"Matt Barnes",12863,598264
"Tyler Anderson","- - -",167,5.873739319161946,,-0.4019699952181648,,,11.240203970870121,-0.8388458788394928,-2.7151607424020767,-2.798142433166504,,7.907272648327808,,,"Tyler Anderson",12880,542881
"Alex Claudio","LAA",32.2,9.76645987374442,,,,,10.264200239039178,-2.9396406449611834,,,,11.41831105905813,,,"Alex Claudio",12890,592222
"Dylan Bundy","LAA",90.2,-3.596346698044817,,,,,-7.539288190834423,1.8016155077063518,4.668242271129902,,,-7.52197973808033,,,"Dylan Bundy",12917,605164
"Archie Bradley","PHI",51,-5.452515498114849,,,,,-8.352509520369578,,,2.953667914117133,,-7.398596286773682,,,"Archie Bradley",12918,605151
"Joe Musgrove","SDP",181.1,-3.2601358231587625,,0.5204428146932727,,,-6.284032678604126,7.448123632692823,5.88585794552691,,,-5.676619784932741,,,"Joe Musgrove",12970,605397
"Joe Ross","WSN",108,-4.0180026923908905,,,,,-8.936602390173709,1.0694682078253954,,,,-8.562307027670053,,,"Joe Ross",12972,605452
