Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Francis Martes","HOU",11.429447719018764,5.134969265066402,2.22580645,1.1595091888859617,0.27710843,0.12449799,0.15261044,0.24285714285714285,1.5092024363277594,0.3283582089552239,0.6234414,137.09862430334954,102.57074106384728,100.34520492167455,5.797545944429808,4.445983237420491,1.3515627070093164,4.408074924033871,4.024682889528811,"Francis Martes",17303,642564
"Shane Greene","DET",9.709361065547709,4.522168167515371,2.14705882,0.7980296766203596,0.25795053,0.12014134,0.13780919,0.20408163265306123,1.2413794969650038,0.26506024096385544,0.84170854,60.11254112356041,86.20798839224493,96.40627271586837,2.6600989220678652,3.8374427520756553,-1.17734383000779,4.2357123435639386,4.0191737367914,"Shane Greene",10756,572888
"AJ Ramos","- - -",11.04545789710848,5.21591067363456,2.11764706,1.07386396221888,0.27906977,0.13178295,0.14728682,0.22072072072072071,1.41477315657408,0.2937062937062937,0.7712766,96.86958076459395,97.16589277574957,99.5197752948796,3.98863757395584,4.095139978690668,-0.10650240473482775,4.3025962690335415,4.0080796909099785,"AJ Ramos",8350,573109
"Tony Barnette","TEX",8.94767759373779,3.453489597583007,2.59090909,1.0988375992309567,0.22619048,0.08730159,0.13888889,0.2807017543859649,1.5000005322835284,0.3475609756097561,0.66496164,115.0271814987672,87.69543965987481,98.98775876915109,5.494187996154784,4.012291160282389,1.4818968358723943,4.348674835514186,3.9948645098673157,"Tony Barnette",3555,501817
"Matt Bowman","STL",7.0568198642951465,2.761364294724188,2.55555556,0.6136365099387084,0.18623482,0.07287449,0.11336032,0.23214285714285715,1.1931821026585998,0.27586206896551724,0.66282421,95.27157284641909,86.44927277591592,99.03657143582902,3.9886373146016045,3.651957993886716,0.3366793207148886,4.2816226033608915,3.987528287856201,"Matt Bowman",13528,621199
"Gerrit Cole","PIT",8.689655172413794,2.438423645320197,3.56363636,1.374384236453202,0.23085984,0.0647821,0.16607774,0.2518987341772152,1.251231527093596,0.2984014209591474,0.74557316,99.90033793594306,94.63884506086895,88.10727576157346,4.25615763546798,4.083748068598104,0.1724095668698764,3.807231951846278,3.9747431820936234,"Gerrit Cole",13125,543037
"Tyler Clippard","- - -",10.740333585540723,4.624310293774478,2.32258065,1.491712997991767,0.27272727,0.11742424,0.15530303,0.20346320346320346,1.2928179315928647,0.2483221476510067,0.71212121,110.61763536757852,102.76541710721047,107.27824686466298,4.7734815935736545,4.566479747872759,0.20700184570089597,4.711455875358259,3.9734940568654507,"Tyler Clippard",5640,461325
"Wade LeBlanc","PIT",7.147060427286581,2.250000504886516,3.17647059,1.3235297087567741,0.19081272,0.06007067,0.13074205,0.24150943396226415,1.1911767378810967,0.26865671641791045,0.69117647,105.62381849820304,99.0591546980177,94.0194373908716,4.500001009773032,4.275287003830699,0.22471400594233337,4.063851800990718,3.9680777212034726,"Wade LeBlanc",5221,453281
"Tony Sipp","HOU",9.401789877185427,3.857144564999149,2.4375,1.9285722824995746,0.23636364,0.0969697,0.13939394,0.24324324324324326,1.3928577595830263,0.27722772277227725,0.66985646,136.81889337382395,120.49983604403633,98.79613949666764,5.785716847498724,5.220140607442579,0.5655762400561457,4.340289823905117,3.9516807224425836,"Tony Sipp",8280,448609
"Madison Bumgarner","SFG",8.18918918918919,1.6216216216216217,5.05,1.3783783783783783,0.22444444,0.04444444,0.18,0.23653395784543327,1.09009009009009,0.27184466019417475,0.82834331,80.09247154147657,96.86090075840829,94.2711782063481,3.324324324324324,3.9504324870066605,-0.6261081626823364,4.074778716413825,3.9382862764292583,"Madison Bumgarner",5524,518516
