Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Brandon McCarthy","LAD",0.30324909747292417,1.260869565,0.246376811,0.420289855,0.333333333,0.195652173,0.054347826,55,5.341726325509802,485,962,1447,0.36524823,0.37234043,0.26241135,0.22695035,0.4964539,0.27659574,"Brandon McCarthy",4662,435221
"Julio Urías","LAD",0.29333333333333333,1.260869565,0.277777777,0.402777777,0.319444444,0.04347826,0.04347826,7,2.700000367845858,158,254,412,0.35526316,0.36842105,0.27631579,0.19736842,0.52631579,0.27631579,"Julio Urias",14765,628711
"Mike Minor","KCR",0.27225130890052357,1.025316455,0.162303664,0.424083769,0.413612565,0.11392405,0.063291139,35,4.055794522631014,406,786,1192,0.42346939,0.30102041,0.2755102,0.2244898,0.5,0.2755102,"Mike Minor",10021,501985
"Sam Dyson","- - -",0.31891891891891894,3.131578947,0.169312169,0.629629629,0.201058201,0.052631578,0.210526315,16,2.6341465559125052,344,583,927,0.39378238,0.38860104,0.21761658,0.2642487,0.4611399,0.2746114,"Sam Dyson",11710,473879
"Ryan Dull","OAK",0.2830188679245283,0.914893617,0.189189189,0.387387387,0.423423423,0.106382978,0.14893617,20,4.2857158427341435,262,471,733,0.51327434,0.30088496,0.18584071,0.20353982,0.52212389,0.27433628,"Ryan Dull",13974,623430
"Clayton Kershaw","LAD",0.2665094339622642,1.448275862,0.189497716,0.479452054,0.331050228,0.096551724,0.158620689,98,5.040000439453164,792,1729,2521,0.43273543,0.34529148,0.22197309,0.23542601,0.49103139,0.2735426,"Clayton Kershaw",2036,477132
"Aroldis Chapman","NYY",0.2956521739130435,1.390243902,0.162393162,0.487179487,0.35042735,0.121951219,0.073170731,12,2.1456959063033314,283,591,874,0.31623932,0.30769231,0.37606838,0.21367521,0.51282051,0.27350427,"Aroldis Chapman",10233,547973
"Stephen Strasburg","WSN",0.2744186046511628,1.369127516,0.190366972,0.467889908,0.341743119,0.114093959,0.087248322,98,5.030417959094728,898,1844,2742,0.34988713,0.38148984,0.26862302,0.21444695,0.51241535,0.2731377,"Stephen Strasburg",10131,544931
"Brian Duensing","CHC",0.3058823529411765,1.448275862,0.179190751,0.485549132,0.335260115,0.086206896,0.103448275,36,5.197861704801507,401,631,1032,0.32954545,0.35795455,0.3125,0.1875,0.53977273,0.27272727,"Brian Duensing",4064,488846
"Eduardo Paredes","LAA",0.296875,1.363636363,0.1875,0.46875,0.34375,0.045454545,0.09090909,10,4.029851319875478,125,231,356,0.36363636,0.45454545,0.18181818,0.16666667,0.56060606,0.27272727,"Eduardo Paredes",16344,622161
