Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Félix Hernández","SEA",201.2,0.33883792,0.60813704,0.46310935,0.59386282,0.88380282,0.76955903,0.46146245,23.44392304,"Felix Hernandez",4772,433587
"Rob Scahill","PIT",30.2,0.29230769,0.62745098,0.45825243,0.55263158,0.9,0.78813559,0.49514563,23.44266667,"Rob Scahill",9286,543746
"Chris Rusin","COL",131.2,0.29191321,0.63946188,0.47393142,0.67905405,0.88078541,0.82160555,0.52372006,23.44055482,"Chris Rusin",9895,543734
"Joe Ross","WSN",76.2,0.31418312,0.64597315,0.48568951,0.56571429,0.83636364,0.75178571,0.5169124,23.39757576,"Joe Ross",12972,605452
"Shaun Marcum","CLE",35,0.29209622,0.58237548,0.42934783,0.49411765,0.86842105,0.73417722,0.47282609,23.39371981,"Shaun Marcum",6204,451788
"Frank Garces","SDP",38,0.26136364,0.6635514,0.45319465,0.57608696,0.87323944,0.78360656,0.4769688,23.3852459,"Frank Garces",13144,571057
"Mike Morin","LAA",35.1,0.34099617,0.65371025,0.50367647,0.48314607,0.77837838,0.68248175,0.52022059,23.38219895,"Mike Morin",13442,573046
"Carlos Villanueva","STL",61,0.28725702,0.64254386,0.46354733,0.48120301,0.85324232,0.7370892,0.49619151,23.37364341,"Carlos Villanueva",4138,453646
"Fernando Rodney","- - -",62.2,0.25362319,0.5698324,0.40955005,0.64285714,0.81372549,0.76008969,0.49311295,23.36352357,"Fernando Rodney",494,407845
"Tommy Hunter","- - -",60.1,0.32112676,0.66796117,0.52643678,0.56140351,0.87790698,0.79912664,0.59195402,23.35551948,"Tommy Hunter",1157,488984
"Bartolo Colon","NYM",194.2,0.30727273,0.60707517,0.48415952,0.76627219,0.90010406,0.86528099,0.59001118,23.35490831,"Bartolo Colon",375,112526
"Casey Janssen","WSN",40,0.23897059,0.68012422,0.47811448,0.8,0.86757991,0.85211268,0.54208754,23.34306569,"Casey Janssen",7355,445163
"Buck Farmer","DET",40.1,0.2652439,0.62674095,0.45414847,0.70114943,0.88444444,0.83333333,0.52256186,23.29757085,"Buck Farmer",14814,571656
"Andrew Miller","NYY",61.2,0.36525612,0.51072125,0.44282744,0.35365854,0.73664122,0.58920188,0.53326403,23.28134111,"Andrew Miller",6785,453192
"Jose Alvarez","LAA",67,0.30277186,0.64528302,0.48448448,0.57042254,0.85380117,0.77066116,0.53053053,23.25176803,"Jose Alvarez",5358,501625
"Cody Martin","- - -",30.2,0.22790698,0.59363958,0.43574297,0.63265306,0.875,0.8202765,0.56827309,23.25,"Cody Martin",12182,592533
"Clayton Kershaw","LAD",232.2,0.3380805,0.66949153,0.51137371,0.47252747,0.78902954,0.689197,0.52289513,23.24689312,"Clayton Kershaw",2036,477132
"Rubby De La Rosa","ARI",188.2,0.29992943,0.65510719,0.48751249,0.62117647,0.83349374,0.77185792,0.52813853,23.24587847,"Rubby De La Rosa",3862,523989
"Franklin Morales","KCR",62.1,0.23112128,0.60700389,0.43427971,0.62376238,0.90384615,0.83535109,0.5404837,23.24444444,"Franklin Morales",5088,462985
"Jeff Samardzija","CHW",214,0.31667792,0.6704481,0.50893958,0.63326226,0.86886633,0.80193822,0.54346486,23.24149956,"Jeff Samardzija",3254,502188
"Dalier Hinojosa","- - -",24.2,0.27586207,0.64864865,0.47058824,0.71428571,0.82638889,0.795,0.52235294,23.21495327,"Dalier Hinojosa",15671,648737
"Bud Norris","- - -",83,0.27747253,0.60465116,0.44139822,0.64356436,0.84841629,0.78416149,0.5010281,23.19019608,"Bud Norris",9492,502032
"Scott Kazmir","- - -",183,0.28317956,0.66361855,0.48129252,0.61152882,0.85334646,0.78515901,0.5207483,23.17736567,"Scott Kazmir",4897,431148
"Jeff Manship","CLE",39.1,0.35737705,0.6122449,0.47090909,0.62385321,0.88,0.77220077,0.44545455,23.16919192,"Jeff Manship",6865,453249
"Matt Andriese","TBR",65.2,0.29087452,0.61607143,0.45856354,0.66666667,0.87246377,0.80923695,0.51565378,23.14358323,"Matt Andriese",12022,542882
"Tyler Wilson","BAL",36,0.26315789,0.60689655,0.45559846,0.7,0.94886364,0.88559322,0.55984556,23.12568306,"Tyler Wilson",12691,592869
"Jim Johnson","- - -",66.2,0.32059448,0.61391304,0.48183556,0.66225166,0.90368272,0.83134921,0.54971319,23.12268188,"Jim Johnson",3656,462382
"Tim Cooney","STL",31.1,0.2300885,0.60323887,0.42494715,0.46153846,0.9261745,0.80597015,0.52219873,23.1183432,"Tim Cooney",13762,608641
"Nick Masset","- - -",25,0.2513089,0.69387755,0.4754522,0.66666667,0.875,0.82065217,0.50645995,23.11397059,"Nick Masset",7267,434665
"Matt Cain","SFG",60.2,0.29979879,0.64242424,0.47076613,0.6442953,0.88679245,0.80942184,0.49899194,23.07988588,"Matt Cain",4732,430912
"Steve Geltz","TBR",67.1,0.2630597,0.66368515,0.46757991,0.64539007,0.85444744,0.796875,0.51050228,23.07884856,"Steve Geltz",8402,544993
"Chaz Roe","BAL",41.1,0.25477707,0.57631579,0.43083573,0.5875,0.84018265,0.77257525,0.54755043,23.06903353,"Chaz Roe",9866,475054
"Kyle Barraclough","MIA",24.1,0.26530612,0.6492891,0.44298246,0.41538462,0.77372263,0.65841584,0.4627193,23.0480226,"Kyle Barraclough",13713,607457
"Héctor Rondón","CHC",70,0.29961832,0.67759563,0.49301025,0.53503185,0.87634409,0.77504726,0.51164958,23.01851852,"Hector Rondon",2391,444468
"Rick Porcello","BOS",172,0.2816358,0.63063063,0.46549836,0.66849315,0.87692308,0.8172549,0.52683461,23.00619195,"Rick Porcello",2717,519144
"Martín Pérez","TEX",78.2,0.32822086,0.66071429,0.48184818,0.73831776,0.90540541,0.84417808,0.4620462,22.99644128,"Martin Perez",6902,527048
"Nate Karns","TBR",147,0.26976365,0.62542373,0.44412131,0.61933535,0.87262873,0.79420019,0.49023681,22.9954955,"Nate Karns",12638,501992
"Javier López","SFG",39.1,0.28275862,0.65271967,0.44990548,0.68292683,0.87179487,0.80672269,0.45179584,22.99469496,"Javier Lopez",1663,425657
"Eddie Butler","COL",79.1,0.24127466,0.65300146,0.45081967,0.71069182,0.89461883,0.84628099,0.50894188,22.98942918,"Eddie Butler",13453,572750
"John Lackey","STL",218,0.29121726,0.65133038,0.50064475,0.5978836,0.88,0.8113329,0.58156028,22.96821741,"John Lackey",1507,407793
