Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Edinson Volquez","KCR",200.1,-4.700838308781385,,,,,-1.9135491251945496,,,4.625607848167419,,10.930772215127945,,,"Edinson Volquez",3990,450172
"Allen Webster","ARI",31,0.29048311710357666,,,,,-6.164922118186951,-0.34576940536499023,-1.4315968751907349,,,-3.0943909883499146,,,"Allen Webster",3993,543903
"Enny Romero","TBR",30,-3.9229273796081543,,0.31355535984039307,,,0.17803628742694855,0.5057944655418396,,,,-0.4349247217178345,,,"Enny Romero",4001,544836
"Yusmeiro Petit","SFG",76,-8.721888318657875,,-0.10565802454948425,,,,-2.6352784261107445,11.450231045484543,,,-0.7607528567314148,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","LAA",180.2,,,-4.089586913585663,,,8.193469226360321,-0.9514592289924622,-3.0445892810821533,,,-5.139324173331261,-0.0594337098300457,,"Hector Santiago",4026,502327
"Brian Duensing","MIN",48.2,3.5292160511016846,,,,,-0.2039867639541626,-4.991687774658203,0.9521762132644653,,,2.855151414871216,,,"Brian Duensing",4064,488846
"Pedro Strop","CHC",68,0.9804461002349854,,,,,2.1623036861419678,14.186211585998535,,,,-0.6329574584960938,,,"Pedro Strop",4070,467008
"Junichi Tazawa","BOS",58.2,1.777457594871521,,,,-1.4922772645950317,0.04760456085205078,1.1219887733459473,-0.7724364995956421,,,-0.5307319760322571,,,"Junichi Tazawa",4079,547749
"James Russell","CHC",34,-2.3713936805725098,,0.5693413615226746,,,-1.723178744316101,2.009944438934326,-0.9918653964996338,,,-2.2984747886657715,,,"James Russell",4089,460701
"Luke Gregerson","HOU",61,1.463986873626709,,0.030050378292798996,,,7.158329010009766,5.629857063293457,-0.023963309824466705,,,-1.3647243976593018,,,"Luke Gregerson",4090,502381
"Carlos Villanueva","STL",61,-0.8744291663169861,,,,,-0.5910004377365112,5.340988636016846,-2.0417349338531494,,0.27216994762420654,1.397847294807434,,,"Carlos Villanueva",4138,453646
"Derek Holland","TEX",58.2,-0.1810539811849594,,,,,0.810333788394928,0.1710156351327896,,0.9479663372039795,,-4.205855846405029,,,"Derek Holland",4141,502706
"Jake Arrieta","CHC",229,2.799100637435913,,,,,22.486160278320312,24.84439468383789,7.58125638961792,,,3.0646982192993164,,,"Jake Arrieta",4153,453562
"Jered Weaver","LAA",159,-11.477874755859375,,0.21232451498508453,,,-4.499696254730225,4.010297775268555,1.604764461517334,,,1.3287526369094849,,,"Jered Weaver",4235,450308
"David Hernandez","ARI",33.2,-2.5839414596557617,,,,,0.7814165353775024,,0.28417038917541504,,,-0.5407735705375671,,,"David Hernandez",4259,456696
"Mark Melancon","PIT",76.2,0.5657698512077332,,13.950950622558594,0.08711886405944824,,,,,4.373284339904785,,,,,"Mark Melancon",4264,453343
"Manny Parra","CIN",32.1,6.060852527618408,,,-1.902127981185913,,0.2120499163866043,-1.606014609336853,,,,,,,"Manny Parra",4279,448159
"Matt Albers","CHW",37.1,0.1881045401096344,,,,,3.534097194671631,1.4209835529327393,0.7443364858627319,,,-0.04831082001328468,,,"Matt Albers",4300,458006
"Justin Wilson","NYY",61,7.75009822845459,,-2.1290283203125,,,4.705127239227295,0.9040960073471069,1.653059720993042,,,,,,"Justin Wilson",4301,458677
"Craig Breslow","BOS",65,-1.0808824300765991,,,,,-5.9700929671525955,2.8337658643722534,-0.00005016103386878967,,,0.3916751742362976,,,"Craig Breslow",4363,444520
"Jeremy Hellickson","ARI",146,-11.866355895996094,,-0.09566696733236313,,,-3.2542173862457275,0.5711600184440613,5.257062911987305,,,1.6076667308807373,,,"Jeremy Hellickson",4371,476451
"Jonathon Niese","NYM",176.2,-3.305166184902191,,0.2842186987400055,,,8.038640081882477,-2.9687783494591713,-8.228554517030716,,,-2.8625572621822357,,,"Jonathon Niese",4424,477003
"Jordan Zimmermann","WSN",201.2,-7.083666801452637,,,,,-0.5752553343772888,12.605876922607422,5.831557273864746,,,0.07248707860708237,,,"Jordan Zimmermann",4505,519455
"Mitch Harris","STL",27,1.3229320049285889,,-2.7038724422454834,,,0.05920722335577011,,-0.5160873532295227,,,-0.48304152488708496,,,"Mitch Harris",4530,518771
"Jason Hammel","CHC",170.2,-7.290918827056885,,,,,-6.682144641876221,14.680559158325195,0.17360857129096985,,,0.9918416142463684,,,"Jason Hammel",4538,434628
"Joe Thatcher","HOU",22.2,-0.6681318879127502,,1.0701676607131958,,,,-0.21769587695598602,,,,,,,"Joe Thatcher",4620,491159
"Brandon McCarthy","LAD",23,4.562400817871094,,-2.7115957736968994,,,-5.224349498748779,,-1.231196403503418,,,,,,"Brandon McCarthy",4662,435221
"Sam LeCure","CIN",20,0.5323901176452637,,,,,-0.46351292729377747,-0.6083312630653381,,0.0023886971175670624,,0.6495530605316162,,,"Sam LeCure",4664,459967
"Charlie Morton","PIT",129,-1.3733046054840088,,,-2.826759099960327,,-2.860917329788208,,0.962177038192749,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","HOU",54.2,,,,,,4.247605323791504,-1.7668122053146362,,,,0.6823508739471436,,,"Pat Neshek",4682,450212
"Jeff Francis","TOR",22,0.8859436511993408,,,,,-2.5619585514068604,-0.30970504879951477,-1.101698637008667,,,0.6230542659759521,,,"Jeff Francis",4684,433585
"Matt Cain","SFG",60.2,-2.1754619479179382,,,,,-2.8610851168632507,-2.0404995381832123,-3.164343886077404,,,-3.0701315104961395,,,"Matt Cain",4732,430912
"Jonathan Broxton","- - -",60.1,-5.000561475753784,,,,,-0.4549849331378937,4.840998411178589,-0.6881307810544968,,,,,,"Jonathan Broxton",4759,455009
"Félix Hernández","SEA",201.2,-7.027487754821777,,,,,-3.9297518730163574,-1.1559555530548096,19.4384708404541,,,5.276485443115234,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","LAA",135.1,-4.329118698835373,,,,,0.21771333366632462,-1.193762183189392,,-1.408916313201189,,0.5161859393119812,,,"Matt Shoemaker",4776,533167
"Rich Hill","BOS",29,5.628349781036377,,,,,0.36722642183303833,-0.0008198581635951996,3.322300910949707,0.28096771240234375,,1.7550522089004517,,,"Rich Hill",4806,448179
"Joe Blanton","- - -",76,2.833276867866516,,,,,-8.725847959518433,10.919791370630264,-0.4006563276052475,,,0.6643402427434921,,,"Joe Blanton",4849,430599
"Mike Montgomery","SEA",90,-2.57206654548645,,2.6542162895202637,,,,,-0.95296710729599,,,-1.7265369892120361,,,"Mike Montgomery",4869,543557
"Brandon Maurer","SDP",51,-0.7349531650543213,,,,,-0.3537757992744446,6.015118598937988,,,,4.075629711151123,,,"Brandon Maurer",4878,543506
"Scott Kazmir","- - -",183,-0.23814254999160767,,1.494786024093628,,,13.881661057472229,-3.8889827132225037,-1.2193471789360046,,,2.923614978790283,,,"Scott Kazmir",4897,431148
"Jon Lester","CHC",205,5.687850475311279,,4.78261661529541,,,4.170465469360352,,1.9257159233093262,,,-0.4519804120063782,,,"Jon Lester",4930,452657
"Justin De Fratus","PHI",80,-2.762782335281372,,,,,-3.1003196239471436,-4.661291599273682,,,,-1.7601749897003174,,,"Justin De Fratus",4955,518603
"Fernando Salas","LAA",63.2,6.20552921295166,,,,,0.30829212069511414,,,-0.24325689673423767,,-5.464110851287842,,,"Fernando Salas",4971,477569
"Cole Hamels","- - -",212.1,0.7893338203430176,,2.141839861869812,,,-3.1636589877307415,,1.8474540710449219,,,17.764484405517578,,,"Cole Hamels",4972,430935
"Fernando Abad","OAK",47.2,5.062691688537598,,-0.5480028986930847,,,-6.6314921379089355,-1.4272301197052002,,-3.645033836364746,,2.0038294792175293,,,"Fernando Abad",4994,472551
"Jake Diekman","- - -",58.1,,,,,,-1.3131754398345947,1.0802274346351624,,,,-0.29528677463531494,,,"Jake Diekman",5003,518617
"Bo Schultz","TOR",43,-1.1799627542495728,,4.1787638664245605,,,0.36645469069480896,2.8622326850891113,,,,0.20632487535476685,,,"Bo Schultz",5028,544759
"Dale Thayer","SDP",37.2,4.562164306640625,,,,,0.806736946105957,-3.3817532062530518,,,,-0.13611479103565216,,,"Dale Thayer",5032,445612
"Yohan Flande","COL",68.1,0.511352002620697,,,,,-2.824673295021057,-8.681968212127686,,,,1.4779551029205322,,,"Yohan Flande",5057,456071
"Josh Fields","HOU",50.2,8.252776145935059,,,,,,0.22598931193351746,,1.1795008182525635,,-0.957544207572937,,,"Josh Fields",5070,451661
