Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Brennan Bernardino","BOS",0.25165562913907286,1.541666666,0.181208053,0.496644295,0.322147651,0.083333333,0.020833333,34,5.922582248525428,309,526,835,0.31125828,0.41059603,0.2781457,0.19205298,0.52980132,0.2781457,"Brennan Bernardino",16835,657514
"Yoendrys Gómez","- - -",0.2727272727272727,0.819277108,0.188172043,0.365591397,0.446236559,0.084337349,0.144578313,50,7.18085124596259,408,696,1104,0.41176471,0.35828877,0.22994652,0.14438503,0.57754011,0.27807487,"Yoendrys Gomez",22872,672782
"Brent Headrick","NYY",0.26,0.52,0.269230769,0.25,0.48076923,0.08,0.16,10,3.913044451766085,106,260,366,0.44444444,0.27777778,0.27777778,0.16666667,0.55555556,0.27777778,"Brent Headrick",27702,687396
"Roki Sasaki","LAD",0.23529411764705882,0.954545454,0.203703703,0.388888888,0.407407407,0.09090909,0.136363636,30,7.431192920621572,256,368,624,0.39814815,0.31481481,0.28703704,0.15740741,0.56481481,0.27777778,"Roki Sasaki",35323,808963
"Max Fried","NYY",0.27932960893854747,1.776397515,0.181318681,0.523809523,0.294871794,0.062111801,0.086956521,158,7.279863670788233,1136,1974,3110,0.43012704,0.353902,0.21597096,0.21415608,0.50816697,0.27767695,"Max Fried",13743,608331
"Tristan Beck","SFG",0.24096385542168675,1.058823529,0.186046511,0.418604651,0.395348837,0.117647058,0.102941176,20,3.1764707307914612,276,541,817,0.45086705,0.34104046,0.20809249,0.13872832,0.58381503,0.27745665,"Tristan Beck",21584,663941
"Eduard Bazardo","SEA",0.22797927461139897,0.88372093,0.198019801,0.376237623,0.425742574,0.116279069,0.104651162,46,5.262712544937463,419,805,1224,0.37623762,0.36138614,0.26237624,0.14851485,0.57425743,0.27722772,"Eduard Bazardo",20997,660825
"Logan Webb","SFG",0.3462897526501767,2.14084507,0.218914185,0.532399299,0.248686514,0.084507042,0.098591549,125,5.434782608695652,1117,2165,3282,0.39378238,0.36442142,0.2417962,0.14853195,0.57512953,0.27633851,"Logan Webb",17995,657277
"Jacob Misiorowski","MIL",0.2986111111111111,0.753623188,0.203947368,0.342105263,0.453947368,0.086956521,0.115942028,51,6.954545756016894,403,762,1165,0.36184211,0.375,0.26315789,0.14473684,0.57894737,0.27631579,"Jacob Misiorowski",31623,694819
"Randy Rodríguez","SFG",0.26785714285714285,0.86,0.198275862,0.370689655,0.431034482,0.18,0.08,19,3.37500042350674,272,536,808,0.36206897,0.38793103,0.25,0.19827586,0.52586207,0.27586207,"Randy Rodriguez",23974,678495
"Brandon Sproat","NYM",0.3103448275862069,2,0.275862068,0.48275862,0.24137931,0.214285714,0,12,5.225806612377985,99,192,291,0.51724138,0.31034483,0.17241379,0.20689655,0.51724138,0.27586207,"Brandon Sproat",33850,687075
"Justin Slaten","BOS",0.24242424242424243,1,0.196078431,0.401960784,0.401960784,0.097560975,0.073170731,30,7.94117736156434,166,333,499,0.39215686,0.37254902,0.23529412,0.14705882,0.57843137,0.2745098,"Justin Slaten",25648,686580
"Pablo López","MIN",0.27751196172248804,0.976190476,0.220657276,0.384976525,0.394366197,0.071428571,0.071428571,47,5.590308557932465,446,813,1259,0.3627907,0.40930233,0.22790698,0.16744186,0.55813953,0.2744186,"Pablo Lopez",17085,641154
"JoJo Romero","STL",0.2694610778443114,1.8,0.151515151,0.545454545,0.303030303,0.1,0.04,49,7.229510005140463,373,618,991,0.39285714,0.41666667,0.19047619,0.2202381,0.50595238,0.27380952,"JoJo Romero",19574,668941
"Clarke Schmidt","NYY",0.2315270935960591,0.693069306,0.189573459,0.331753554,0.478672985,0.118811881,0.08910891,37,4.233050984303458,437,790,1227,0.36792453,0.34433962,0.28773585,0.1745283,0.55188679,0.27358491,"Clarke Schmidt",19899,657376
"Shohei Ohtani","LAD",0.32456140350877194,1.142857142,0.224137931,0.413793103,0.362068965,0.095238095,0.071428571,27,5.170212765957447,258,495,753,0.43589744,0.35897436,0.20512821,0.18803419,0.53846154,0.27350427,"Shohei Ohtani",19755,660271
"Justin Wilson","BOS",0.36,1.318181818,0.19047619,0.46031746,0.349206349,0.136363636,0.068181818,32,5.958622727547888,296,524,820,0.34375,0.390625,0.265625,0.171875,0.5546875,0.2734375,"Justin Wilson",4301,458677
"Reed Garrett","NYM",0.29577464788732394,1.204081632,0.260273972,0.404109589,0.335616438,0.122448979,0.102040816,18,2.9277115161646456,373,606,979,0.42857143,0.33333333,0.23809524,0.14965986,0.57823129,0.27210884,"Reed Garrett",16866,657585
"Javier Assad","CHC",0.2702702702702703,1.5,0.210526315,0.47368421,0.315789473,0.055555555,0.083333333,21,5.108108503092315,208,359,567,0.35964912,0.36842105,0.27192982,0.15789474,0.57017544,0.27192982,"Javier Assad",21741,665871
"Seranthony Domínguez","- - -",0.2805755395683453,1.192307692,0.208333333,0.430555555,0.361111111,0.192307692,0.096153846,34,4.88297966466674,444,658,1102,0.48611111,0.33333333,0.18055556,0.18055556,0.54861111,0.27083333,"Seranthony Dominguez",19249,622554
"Yariel Rodríguez","TOR",0.22826086956521738,0.974025974,0.195767195,0.396825396,0.407407407,0.129870129,0.103896103,33,4.068494001099888,475,685,1160,0.34375,0.38020833,0.27604167,0.20833333,0.52083333,0.27083333,"Yariel Rodriguez",33838,684320
"Andrew Abbott","CIN",0.274468085106383,0.665217391,0.203742203,0.318087318,0.478170478,0.147826086,0.082608695,86,4.65330675551869,904,1773,2677,0.34355828,0.37014315,0.28629857,0.16973415,0.5603272,0.26993865,"Andrew Abbott",29911,671096
"Trent Thornton","SEA",0.28225806451612906,1.098039215,0.170542635,0.434108527,0.395348837,0.078431372,0.117647058,19,4.0393705640622315,218,438,656,0.35384615,0.34615385,0.3,0.15384615,0.57692308,0.26923077,"Trent Thornton",17948,663423
"Nick Lodolo","CIN",0.2761904761904762,1.082352941,0.180555555,0.425925925,0.393518518,0.064705882,0.129411764,76,4.365957730294587,841,1638,2479,0.36877828,0.3438914,0.28733032,0.1561086,0.57466063,0.26923077,"Nick Lodolo",26378,666157
"Ian Seymour","TBR",0.2847682119205298,0.815384615,0.218543046,0.350993377,0.430463576,0.061538461,0.076923076,24,3.789473811014872,347,649,996,0.44230769,0.36538462,0.19230769,0.13461538,0.59615385,0.26923077,"Ian Seymour",27932,693855
"Matt Strahm","PHI",0.2641509433962264,0.358695652,0.198717948,0.211538461,0.589743589,0.141304347,0.054347826,22,3.1764708474283347,316,678,994,0.39634146,0.32926829,0.27439024,0.18292683,0.54878049,0.26829268,"Matt Strahm",13799,621381
"Kolby Allard","CLE",0.28921568627450983,0.866666666,0.180487804,0.380487804,0.43902439,0.122222222,0.055555555,32,4.430769685824289,327,673,1000,0.36363636,0.38277512,0.25358852,0.16746411,0.5645933,0.26794258,"Kolby Allard",18694,663465
"Luke Weaver","NYY",0.22641509433962265,0.489361702,0.161676646,0.275449101,0.562874251,0.053191489,0.106382978,34,4.731959507257443,361,688,1049,0.35714286,0.32142857,0.32142857,0.125,0.60714286,0.26785714,"Luke Weaver",16918,596133
"Ronel Blanco","HOU",0.24193548387096775,0.682539682,0.16535433,0.338582677,0.496062992,0.095238095,0.111111111,23,4.282758733361573,292,502,794,0.51145038,0.26717557,0.22137405,0.19083969,0.54198473,0.26717557,"Ronel Blanco",19407,669854
"Lou Trivino","- - -",0.2857142857142857,0.71641791,0.190140845,0.338028169,0.471830985,0.164179104,0.089552238,29,5.475525534504714,322,519,841,0.4109589,0.32876712,0.26027397,0.23287671,0.5,0.26712329,"Lou Trivino",15043,642152
"Trevor Williams","WSN",0.3467153284671533,0.793103448,0.254480286,0.329749103,0.415770609,0.060344827,0.094827586,41,4.463709814739529,526,922,1448,0.3754386,0.35438596,0.27017544,0.13333333,0.6,0.26666667,"Trevor Williams",16977,592866
