Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Jerad Eickhoff","PHI",58.1,10.492169121066395,,,,,8.277557373046875,3.864299840628062,-5.929546045558072,,,,,,"Jerad Eickhoff",12664,595191
"Roenis Elías","- - -",50,10.497308904474432,,,,,8.42617915226863,,-6.740347568119798,,,4.957336622246345,,,"Roenis Elias",12673,606273
"Ryne Harper","MIN",54.1,5.5916226473721595,,2.372797966003418,,,,,-3.7832470577602826,-6.6275341796875,,1.8371353149414062,,,"Ryne Harper",12680,607560
"Ryan Carpenter","DET",40.2,8.111532358022837,,,,,5.028085347094567,-0.007820122020760762,-8.171799822551447,,,3.2975384521484377,,,"Ryan Carpenter",12699,543001
"Trevor Bauer","- - -",213,9.729162993653032,,-0.9955484741612485,,,6.522746542225713,-1.4209325541297362,,-10.480418307722108,,5.404222899527937,,,"Trevor Bauer",12703,545333
"Adrian Houser","MIL",111.1,8.541456458425353,,,,,4.893797054932387,3.1586761474609375,-8.620078677222843,,,2.9190008272000445,,,"Adrian Houser",12718,605288
"Rafael Montero","TEX",29,7.987503219436813,,,,,4.900557084517046,0.5914751083131821,,,,3.195286197556975,,,"Rafael Montero",12760,606160
"Chris Devenski","HOU",69,9.074478588407002,,,,,,0.7692896525065104,,,,3.0163366418135795,,,"Chris Devenski",12763,606965
"Sonny Gray","CIN",175.1,8.649242735745615,,5.243324279785156,,,5.918338102452895,-2.273310334933222,-6.718009159482759,-5.531630776145241,,5.796484033544581,,,"Sonny Gray",12768,543243
"Jairo Díaz","COL",57.2,7.654092147211323,,,,,5.253462801846591,-0.30433322221804887,,,,,,,"Jairo Diaz",12774,545064
"John Brebbia","STL",72.2,10.555006624135736,,3.263902187347412,,,,2.160483182050819,,,,5.410956791469029,,,"John Brebbia",12777,605154
"Sam Gaviglio","TOR",95.2,,,,,,4.713759846332644,2.6533359575875197,-1.792638925405649,,,1.9913378034319196,,,"Sam Gaviglio",12778,543208
"Burch Smith","- - -",21.1,9.053207907978043,,,,,5.993865013122559,-0.08760491013526917,-7.467914715935202,,,7.870751201242641,,,"Burch Smith",12784,572143
"Noé Ramirez","LAA",67.2,6.965583704079792,,,,,,,-1.7545973920591786,,,-2.2745882301028613,,,"Noe Ramirez",12800,598287
"Matt Wisler","- - -",51.1,9.972620599063827,,,,,9.455968538920084,2.0437080950585047,-5.847650369008382,,,,,,"Matt Wisler",12804,605538
"Mike Clevinger","CLE",126,10.140851064608716,,,,,,-0.8225711449644619,-7.328734867156498,,,6.50489098457113,,,"Mike Clevinger",12808,605182
"Andrew Kittredge","TBR",49.2,10.107661771458506,,,,,6.323190948109568,1.1361881193567496,,,,2.128799644676415,,,"Andrew Kittredge",12828,552640
"Shawn Armstrong","- - -",58,9.86480342706985,,5.500256057012649,,,,-1.1570980531949524,,,,1.8034095764160156,,,"Shawn Armstrong",12857,542888
"Matt Barnes","BOS",64.1,12.156425623739919,,,,,,,-21.654013061523436,-6.459901467347756,,6.423028212327224,,,"Matt Barnes",12863,598264
"Tyler Anderson","COL",20.2,10.084614455097853,,6.625758159591491,,,7.389677865164621,,-5.117941175188337,,,7.777246423669763,,,"Tyler Anderson",12880,542881
"Alex Claudio","MIL",62,1.234265879580849,,,,,-3.063393190468386,1.087697168539839,1.0133872032165527,,,-0.7695113130148639,,,"Alex Claudio",12890,592222
"Ken Giles","TOR",53,9.559728358194269,,,,,7.628562340369592,2.158419647216797,,,,,,,"Ken Giles",12910,571704
"Dylan Bundy","BAL",161.2,10.8732334000955,,,,,8.475970838628887,-0.7021092282065863,-7.596322322237318,,,4.559927172295549,,,"Dylan Bundy",12917,605164
"Archie Bradley","ARI",71.2,9.55769593991865,,,,,7.692075917418574,,,-4.571988528287863,,5.483141632080078,,,"Archie Bradley",12918,605151
"Gabriel Ynoa","BAL",110.2,6.866943792248448,,,,,4.454518029758209,0.7283870216429703,-1.57101685660226,,,4.810453107280116,,,"Gabriel Ynoa",12938,593679
"Joe Musgrove","PIT",170.1,7.439744993341842,,4.424419078057122,,,4.038907292522961,0.5331153222725253,-5.412896398514036,,,3.3014379365103586,,,"Joe Musgrove",12970,605397
"Joe Ross","WSN",64,8.302846461866867,,,,,6.101100357124089,3.419613063081782,-2.200759102316464,,,4.8738962217818855,,,"Joe Ross",12972,605452
"Andrew Chafin","ARI",52.2,8.902509253569757,,,,,7.064133396352313,0.6025412296903306,,,,,,,"Andrew Chafin",12988,605177
"Colten Brewer","BOS",54.2,13.89504665798611,,5.212738781440549,,,12.43746609157986,1.6202312207403984,-11.928120659722222,,,3.829749822616577,,,"Colten Brewer",12997,605155
"Anthony DeSclafani","CIN",166.2,9.308871608904465,,,,,6.447713651800053,4.069352654135152,,-2.767693622295673,,3.7754419999156923,,,"Anthony DeSclafani",13050,543101
"Wei-Yin Chen","MIA",68.1,9.632362117836191,,,,,7.956271003274357,3.9735486260775863,-6.811421712239583,,,6.3981170654296875,,,"Wei-Yin Chen",13071,612672
