Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Wade Davis","COL",42.2,93.21844710895722,,88.91506581763699,,,92.86666870117188,,,82.7835430676424,,90.625,,,"Wade Davis",7441,451584
"Gio Gonzalez","MIL",87.1,89.51855074974799,,,,,88.91161694405099,,75.26856001808133,,,82.31236284234551,,,"Gio Gonzalez",7448,461829
"Anthony Swarzak","- - -",53.1,93.41183200813609,,,,,92.45454545454545,86.14454347886851,,,,,,,"Anthony Swarzak",7466,461872
"Collin McHugh","HOU",74.2,90.7514255035545,,87.02307754907852,,,88.3999998304579,79.50814435840708,74.58686967329545,66.75,,83.79512135575457,,,"Collin McHugh",7531,543521
"Jake McGee","COL",41.1,93.44634915865385,,,,,,80.43385519192914,,,,,,,"Jake McGee",7550,459429
"Nick Vincent","- - -",44.2,88.91621099323987,,86.92803367710512,,,89.43714425223214,83.5,,,,83.66666440610533,,,"Nick Vincent",7555,543883
"Jordan Lyles","- - -",141,92.63349952889448,,,,,91.70975847942073,87.45411424512987,80.62643928271812,,,85.63132412462349,,,"Jordan Lyles",7593,543475
"Tommy Milone","SEA",111.2,87.07931560359589,,,,,,79.11511514353198,75.3427473461355,,,79.41617199764521,,,"Tommy Milone",7608,543548
"Neil Ramírez","- - -",25,94.42528845642327,,,,,,84.6188832529775,79.36721151383196,,,,,,"Neil Ramirez",7677,519166
"Juan Nicasio","PHI",47.1,93.76389572886819,,,,,93.14554648824257,86.70633039248021,,,,84.69999694824219,,,"Juan Nicasio",7731,504379
"Wily Peralta","KCR",40.1,94.33918022260274,,,,,94.93332926432292,82.09442223837209,74.69999694824219,,,84.81976744186046,,,"Wily Peralta",7738,503449
"Mike Fiers","OAK",184.2,90.39580530139935,,,,,90.19496121852518,85.75139286603586,74.04392554402834,,,84.13595615344101,,,"Mike Fiers",7754,571666
"Shawn Kelley","TEX",47.1,91.91147540983607,,,,,,82.4287912608225,,,,83.30000305175781,,,"Shawn Kelley",7773,518875
"Richard Bleier","BAL",55.1,85.7999979654948,,87.4967753092448,,,89.02648700189297,79.65208435058594,,,,81.42222086588542,,,"Richard Bleier",7803,542947
"Hunter Strickland","- - -",24.1,95.92885942601445,,91.05000305175781,,,95.40000059546495,83.55181662819602,,,,89.42666829427084,,,"Hunter Strickland",7836,519326
"Jerry Blevins","ATL",32.1,88.75083705357143,,,,,,,72.3291942290146,,,82.93478260869566,,,"Jerry Blevins",7841,460283
"Tyson Ross","DET",35.1,89.56286741955445,,89.05183844610092,,,89.75714111328125,83.6377245508982,,,,,,,"Tyson Ross",7872,475115
"Cory Gearrin","- - -",55.1,90.99736785888672,,,,,91.26371653487043,85.22143085186298,,,,85.32740704571759,,,"Cory Gearrin",7947,518715
"Anthony Bass","SEA",48,95.31562805175781,,,86.56337020420793,,95.31976744186046,87.28438983386076,,,,,,,"Anthony Bass",7982,542914
"Marcus Walden","BOS",78,94.12326211734694,,91.7354740061162,,,94.04508754185268,85.60741359904661,,,,,,,"Marcus Walden",8004,519393
"Jason Vargas","- - -",149.2,84.23560170947901,,,,,84.16054126636402,,,70.64657785516036,,78.73561042377702,,,"Jason Vargas",8044,450306
"Will Smith","SFG",65.1,92.61370462678937,,,,,,81.57414788832199,77.1361681349734,,,86.97894608347039,,,"Will Smith",8048,519293
"Bryan Shaw","COL",72,92.69999694824219,,92.4935302734375,,,,83.09017508370536,80.75761081861413,,,84.03258317240169,,,"Bryan Shaw",8110,543766
"Brett Anderson","OAK",176,89.38357314908723,,,,,90.71238177128117,81.87136939264113,,75.63655037715517,,82.57058604691876,,,"Brett Anderson",8223,474463
"Tony Sipp","WSN",21,90.40976899245689,,,77.96164651113014,,,83.22499663254311,,,,,,,"Tony Sipp",8280,448609
"Homer Bailey","- - -",163.1,92.97047709569733,,,84.14390138042006,,92.66470336914062,87.30576441102757,,78.35261161834839,,,,,"Homer Bailey",8362,456701
"Buddy Boshers","TOR",20,,,,,,92.62236705579255,,80.41699129863851,,,84.37692495492789,,,"Buddy Boshers",8490,542953
"Justin Verlander","HOU",223,94.5584995361781,,,,,,87.51582682992465,79.40196707589286,,,86.91838522518383,,,"Justin Verlander",8700,434378
"Tanner Roark","- - -",165.1,92.09334398352581,,,,,91.91189511763857,86.30809771825396,75.72907820991848,,,84.05739367847711,,,"Tanner Roark",8753,543699
"Wade Miley","HOU",167.1,90.77461023730685,,87.30676696096654,,,89.48324022346368,81.65714808872768,75.56879992951127,,,81.2226364548142,,,"Wade Miley",8779,489119
"Andrew Cashner","- - -",150,93.93523794485941,,,,,91.9136962890625,85.73689083936738,80.59963091681985,,,84.51171735491072,,,"Andrew Cashner",8782,488768
"Oliver Drake","TBR",56,93.52178682742782,,90.19999694824219,83.95438282647585,,,,73.93332926432292,,,,,,"Oliver Drake",8823,543118
"Adam Warren","SDP",28.2,91.35764590992648,,,,,91.69999694824219,85.54732973520993,78.80000106148098,,,84.91514756944444,,,"Adam Warren",9029,476589
"Kirby Yates","SDP",60.2,93.45566876073883,,,86.31046511627908,,,85.18889024522569,,,,,,,"Kirby Yates",9073,489446
"Brad Hand","CLE",57.1,92.73159592661692,,,,,91.91874694824219,81.1693344116211,,,,,,,"Brad Hand",9111,543272
"Nathan Eovaldi","BOS",67.2,97.47092985888939,,93.23754454495614,87.86842105263158,,,84.92999877929688,80.53755788673642,,,,,,"Nathan Eovaldi",9132,543135
"Tim Melville","COL",33.1,89.23191281582447,,,,,,83.14480392654221,75.39393939393939,,,82.45881922104779,,,"Tim Melville",9149,543532
"Patrick Corbin","WSN",202,91.84430455343214,,,,,91.83141592920354,81.682515063317,67.81043648097825,,,81.78254174933862,,,"Patrick Corbin",9323,571578
"Jared Hughes","- - -",71.1,92.75076998197116,,,,,91.13649539993918,84.30317615327381,80.04444764152406,,,84.6022216796875,,,"Jared Hughes",9325,453172
"Josh Tomlin","ATL",79.1,89.39475661057692,,86.92464209282714,,,88.47999995304988,,76.50304463188056,,,84.65257735104905,,,"Josh Tomlin",9388,458708
"Dallas Keuchel","ATL",112.2,89.42603556315105,,86.13567356418919,,,88.25601750547045,78.43708736795774,,,,79.67379929658672,,,"Dallas Keuchel",9434,572971
"Ryan Buchter","OAK",45.1,92.4430894308943,,89.68086786684782,,,,,77.61647727272727,,,,,,"Ryan Buchter",9456,488748
"Dan Straily","BAL",47.2,90.24543883308532,,,,,91.35000610351562,83.57668545579664,76.08234988941865,,,84.02059897230419,,,"Dan Straily",9460,573185
"Jeremy Jeffress","MIL",52,93.96489955357143,,,90.18589743589743,,93.73003546288396,,,80.99795081967213,,,,,"Jeremy Jeffress",9490,502026
"David Hale","NYY",37.2,93.64787649601064,,,,,93.00115719833815,,82.08454367897727,,,82.12577819824219,,,"David Hale",9756,571735
"Joe Kelly","LAD",51.1,97.50607287449392,,,,,98.34726756840796,,,87.22360248447205,,87.60810810810811,,,"Joe Kelly",9761,523260
"Miles Mikolas","STL",184,93.70297359496124,,,,,93.43498381193693,87.00669472983257,78.33300130208333,,,87.7345757885514,,,"Miles Mikolas",9803,571945
"Sergio Romo","- - -",60.1,86.5,,,,,86.17676125110036,77.42158516020235,,,,80.16124877929687,,,"Sergio Romo",9817,489265
"Chaz Roe","TBR",51,92.09375,,87.0796643273305,,,92.07123109303653,81.04923982925801,74.85000101725261,,,,,,"Chaz Roe",9866,475054
"Brandon Kintzler","CHC",57,93.0531234741211,,,,,92.60051107325383,86.70574600395115,,,,87.52733072916666,,,"Brandon Kintzler",9939,445213
"Mike Minor","TEX",208.1,92.49545966933867,,,,,,86.37941628264208,,80.65639788674935,,86.17615012106538,,,"Mike Minor",10021,501985
"Kyle Gibson","MIN",160,93.41250319707962,,,,,93.23656868342621,84.06324177918118,80.09036825466426,,,85.34272592019715,,,"Kyle Gibson",10123,502043
"Mike Leake","- - -",197,88.63044770930914,,86.66343416908914,,,88.26654591279872,80.31260210707104,,79.34765832779256,,84.03463541666666,,,"Mike Leake",10130,502190
"Stephen Strasburg","WSN",209,93.88018414602683,,,,,93.72526433270677,87.79166666666667,81.2110881750241,,,87.74185825892857,,,"Stephen Strasburg",10131,544931
"Brad Boxberger","KCR",26.2,90.03865217962185,,,,,,85.32840798117898,,,,78.19751431482919,,,"Brad Boxberger",10133,502202
"Ryan Weber","BOS",40.2,88.42857433500744,,86.2750015258789,,,89.39970352264221,78.54081632653062,76.60000096689356,,,81.62589154924665,,,"Ryan Weber",10160,543901
"Tyler Skaggs","LAA",79.2,91.31001318848355,,,,,,,75.05032119914347,,,83.83181818181818,,,"Tyler Skaggs",10190,572140
"Shelby Miller","TEX",44,94.29414701215576,,88.56129111013105,,,93.8,,79.41857328869048,,,86.70500183105469,,,"Shelby Miller",10197,571946
"Aroldis Chapman","NYY",57,98.01273397160068,,,,,100.17576152146465,85.21623249797078,,,,88.0999984741211,,,"Aroldis Chapman",10233,547973
"Ryan Tepera","TOR",21.2,93.3915517027949,,88.15963661123853,,,93.71900977773115,82.26874923706055,,,,85.64347640327786,,,"Ryan Tepera",10291,572193
"Zack Wheeler","NYM",195.1,96.79208190337908,,91.12993421052632,89.14833170572916,,96.52538635120351,92.05416870117188,80.65286624203821,,,88.86563708118557,,,"Zack Wheeler",10310,554430
"Juan Minaya","CHW",27.2,93.40802675585284,,87.69999694824219,,,,84.37619163876488,83.63499755859375,,,88.05729166666667,,,"Juan Minaya",10341,573668
